text,type,urgency,location
"Appeal for other relief in Punjab, marked High urgency.",Other,High,Punjab
Severe food crisis unfolding in Tripura.,Food,Low,Tripura
"Appeal for other relief in Madhya Pradesh, marked High urgency.",Other,High,Madhya Pradesh
Volunteers needed for food support in Kolkata.,Food,High,Kolkata
Volunteers needed for shelter support in Gujarat.,Shelter,Medium,Gujarat
Severe other crisis unfolding in Bihar.,Other,High,Bihar
"Medical emergency reported in Meghalaya, situation is Low.",Medical,Low,Meghalaya
Volunteers needed for rescue support in Odisha.,Rescue,Low,Odisha
"Local authorities in Kolkata report other issues, response needed.",Other,High,Kolkata
"Shelter emergency reported in Tripura, situation is Medium.",Shelter,Medium,Tripura
Citizens in Assam need immediate rescue aid.,Rescue,High,Assam
"Local authorities in Telangana report medical issues, response needed.",Medical,High,Telangana
Severe food crisis unfolding in Kolkata.,Food,Low,Kolkata
Lack of basic food services reported in Himachal Pradesh.,Food,Low,Himachal Pradesh
Citizens in Odisha need immediate other aid.,Other,Low,Odisha
Lack of basic food services reported in Chennai.,Food,Low,Chennai
Volunteers needed for other support in Jammu.,Other,Low,Jammu
"Local authorities in Gujarat report rescue issues, response needed.",Rescue,Medium,Gujarat
"Local authorities in Bihar report shelter issues, response needed.",Shelter,High,Bihar
Urgent Rescue assistance required in Meghalaya.,Rescue,Low,Meghalaya
Urgent Rescue assistance required in Kolkata.,Rescue,Low,Kolkata
"Medical emergency reported in Punjab, situation is Low.",Medical,Low,Punjab
"Appeal for shelter relief in Assam, marked Medium urgency.",Shelter,Medium,Assam
Crisis alert: Rescue required in Odisha. Urgency is Medium.,Rescue,Medium,Odisha
"Local authorities in Uttar Pradesh report other issues, response needed.",Other,Medium,Uttar Pradesh
"Other emergency reported in Manipur, situation is Low.",Other,Low,Manipur
"Appeal for rescue relief in Odisha, marked High urgency.",Rescue,High,Odisha
"Manipur facing rescue shortage, urgency level: High.",Rescue,High,Manipur
Lack of basic rescue services reported in Assam.,Rescue,Medium,Assam
Volunteers needed for other support in Manipur.,Other,Medium,Manipur
Volunteers needed for food support in Jharkhand.,Food,Medium,Jharkhand
Crisis alert: Other required in Tripura. Urgency is Low.,Other,Low,Tripura
Volunteers needed for other support in Mumbai.,Other,Low,Mumbai
"Kerala facing medical shortage, urgency level: Low.",Medical,Low,Kerala
Citizens in Jammu need immediate food aid.,Food,Medium,Jammu
"Local authorities in Sikkim report food issues, response needed.",Food,High,Sikkim
Severe other crisis unfolding in Andhra Pradesh.,Other,High,Andhra Pradesh
Severe rescue crisis unfolding in Manipur.,Rescue,Medium,Manipur
"Local authorities in Rajasthan report medical issues, response needed.",Medical,High,Rajasthan
"Local authorities in Chennai report medical issues, response needed.",Medical,High,Chennai
Lack of basic other services reported in Kerala.,Other,High,Kerala
"Bihar facing food shortage, urgency level: High.",Food,High,Bihar
Severe medical crisis unfolding in Jharkhand.,Medical,High,Jharkhand
Lack of basic shelter services reported in Andhra Pradesh.,Shelter,Low,Andhra Pradesh
"Rescue emergency reported in Punjab, situation is Medium.",Rescue,Medium,Punjab
Lack of basic food services reported in Jammu.,Food,Medium,Jammu
Crisis alert: Shelter required in Goa. Urgency is Medium.,Shelter,Medium,Goa
Urgent Shelter assistance required in Odisha.,Shelter,Medium,Odisha
Volunteers needed for medical support in Meghalaya.,Medical,Low,Meghalaya
"Local authorities in Mumbai report rescue issues, response needed.",Rescue,Low,Mumbai
Crisis alert: Other required in Assam. Urgency is High.,Other,High,Assam
Urgent Food assistance required in Himachal Pradesh.,Food,Low,Himachal Pradesh
Volunteers needed for other support in Manipur.,Other,Medium,Manipur
Citizens in Kolkata need immediate rescue aid.,Rescue,Medium,Kolkata
Lack of basic shelter services reported in Telangana.,Shelter,Low,Telangana
Urgent Medical assistance required in Rajasthan.,Medical,Low,Rajasthan
Crisis alert: Other required in Kolkata. Urgency is High.,Other,High,Kolkata
"Delhi facing rescue shortage, urgency level: Low.",Rescue,Low,Delhi
Severe food crisis unfolding in Ladakh.,Food,High,Ladakh
Urgent Food assistance required in Uttar Pradesh.,Food,Medium,Uttar Pradesh
"Medical emergency reported in Odisha, situation is High.",Medical,High,Odisha
Citizens in Punjab need immediate other aid.,Other,Medium,Punjab
"Appeal for food relief in Kerala, marked High urgency.",Food,High,Kerala
Lack of basic other services reported in Delhi.,Other,Low,Delhi
Citizens in Odisha need immediate shelter aid.,Shelter,High,Odisha
Crisis alert: Food required in Goa. Urgency is Low.,Food,Low,Goa
"Kolkata facing medical shortage, urgency level: Low.",Medical,Low,Kolkata
Lack of basic shelter services reported in Chennai.,Shelter,Low,Chennai
Crisis alert: Other required in Assam. Urgency is High.,Other,High,Assam
"Local authorities in Ladakh report food issues, response needed.",Food,Medium,Ladakh
"Food emergency reported in Telangana, situation is Medium.",Food,Medium,Telangana
"Gujarat facing food shortage, urgency level: Low.",Food,Low,Gujarat
Urgent Shelter assistance required in Chennai.,Shelter,Medium,Chennai
"Shelter emergency reported in Bihar, situation is High.",Shelter,High,Bihar
Lack of basic shelter services reported in Ladakh.,Shelter,Low,Ladakh
Volunteers needed for rescue support in Kerala.,Rescue,Low,Kerala
Volunteers needed for shelter support in Telangana.,Shelter,High,Telangana
Volunteers needed for food support in Chennai.,Food,High,Chennai
Crisis alert: Shelter required in Rajasthan. Urgency is High.,Shelter,High,Rajasthan
Lack of basic shelter services reported in Sikkim.,Shelter,High,Sikkim
Severe medical crisis unfolding in Madhya Pradesh.,Medical,High,Madhya Pradesh
Severe medical crisis unfolding in Assam.,Medical,Low,Assam
Severe medical crisis unfolding in Kolkata.,Medical,Medium,Kolkata
Severe food crisis unfolding in Ladakh.,Food,Low,Ladakh
Crisis alert: Other required in Gujarat. Urgency is High.,Other,High,Gujarat
Urgent Food assistance required in Chennai.,Food,High,Chennai
"Local authorities in Kerala report medical issues, response needed.",Medical,Low,Kerala
Severe shelter crisis unfolding in Jammu.,Shelter,Medium,Jammu
"Appeal for rescue relief in Madhya Pradesh, marked High urgency.",Rescue,High,Madhya Pradesh
"Other emergency reported in Meghalaya, situation is High.",Other,High,Meghalaya
Urgent Food assistance required in Odisha.,Food,High,Odisha
Severe other crisis unfolding in Gujarat.,Other,High,Gujarat
"Appeal for rescue relief in Delhi, marked Low urgency.",Rescue,Low,Delhi
Citizens in Delhi need immediate shelter aid.,Shelter,Low,Delhi
"Local authorities in Goa report rescue issues, response needed.",Rescue,Medium,Goa
Severe rescue crisis unfolding in Jammu.,Rescue,High,Jammu
Citizens in Assam need immediate rescue aid.,Rescue,Low,Assam
Volunteers needed for other support in Kerala.,Other,High,Kerala
Severe shelter crisis unfolding in Delhi.,Shelter,Medium,Delhi
"Appeal for food relief in Telangana, marked Medium urgency.",Food,Medium,Telangana
Severe shelter crisis unfolding in Tripura.,Shelter,High,Tripura
"Shelter emergency reported in Bihar, situation is Low.",Shelter,Low,Bihar
Volunteers needed for shelter support in Assam.,Shelter,Medium,Assam
"Local authorities in Bihar report rescue issues, response needed.",Rescue,High,Bihar
Citizens in Odisha need immediate medical aid.,Medical,Medium,Odisha
Crisis alert: Food required in Chennai. Urgency is High.,Food,High,Chennai
"Local authorities in Uttar Pradesh report rescue issues, response needed.",Rescue,Medium,Uttar Pradesh
"Uttar Pradesh facing other shortage, urgency level: High.",Other,High,Uttar Pradesh
"Local authorities in Jammu report other issues, response needed.",Other,Low,Jammu
Crisis alert: Other required in Ladakh. Urgency is High.,Other,High,Ladakh
Urgent Food assistance required in Chennai.,Food,High,Chennai
"Local authorities in Punjab report food issues, response needed.",Food,Medium,Punjab
Urgent Shelter assistance required in Telangana.,Shelter,Low,Telangana
"Local authorities in Ladakh report medical issues, response needed.",Medical,Low,Ladakh
Lack of basic rescue services reported in Uttar Pradesh.,Rescue,High,Uttar Pradesh
Citizens in Odisha need immediate medical aid.,Medical,Low,Odisha
Citizens in Meghalaya need immediate rescue aid.,Rescue,Medium,Meghalaya
Crisis alert: Rescue required in Ladakh. Urgency is High.,Rescue,High,Ladakh
Crisis alert: Shelter required in Bihar. Urgency is High.,Shelter,High,Bihar
"Other emergency reported in Himachal Pradesh, situation is Medium.",Other,Medium,Himachal Pradesh
"Tripura facing food shortage, urgency level: Medium.",Food,Medium,Tripura
Lack of basic rescue services reported in Ladakh.,Rescue,Medium,Ladakh
Crisis alert: Medical required in Punjab. Urgency is Medium.,Medical,Medium,Punjab
Volunteers needed for other support in Punjab.,Other,Low,Punjab
Lack of basic other services reported in Goa.,Other,High,Goa
"Assam facing shelter shortage, urgency level: High.",Shelter,High,Assam
Volunteers needed for food support in Bihar.,Food,Low,Bihar
Severe food crisis unfolding in Jharkhand.,Food,Medium,Jharkhand
Citizens in Gujarat need immediate shelter aid.,Shelter,Low,Gujarat
"Local authorities in Kolkata report rescue issues, response needed.",Rescue,High,Kolkata
Urgent Rescue assistance required in Goa.,Rescue,High,Goa
"Appeal for rescue relief in Goa, marked High urgency.",Rescue,High,Goa
Lack of basic medical services reported in Tripura.,Medical,Medium,Tripura
Severe shelter crisis unfolding in Rajasthan.,Shelter,High,Rajasthan
Crisis alert: Shelter required in Meghalaya. Urgency is Medium.,Shelter,Medium,Meghalaya
Volunteers needed for rescue support in Punjab.,Rescue,High,Punjab
Lack of basic medical services reported in Odisha.,Medical,Medium,Odisha
Volunteers needed for food support in Kerala.,Food,Low,Kerala
Urgent Other assistance required in Tripura.,Other,High,Tripura
"Sikkim facing rescue shortage, urgency level: Low.",Rescue,Low,Sikkim
"Uttar Pradesh facing food shortage, urgency level: High.",Food,High,Uttar Pradesh
"Other emergency reported in Delhi, situation is Low.",Other,Low,Delhi
"Local authorities in Bihar report food issues, response needed.",Food,High,Bihar
Crisis alert: Medical required in Chennai. Urgency is Low.,Medical,Low,Chennai
Crisis alert: Medical required in Uttar Pradesh. Urgency is Medium.,Medical,Medium,Uttar Pradesh
Severe other crisis unfolding in Nagaland.,Other,High,Nagaland
Citizens in Gujarat need immediate shelter aid.,Shelter,Low,Gujarat
Severe food crisis unfolding in Chennai.,Food,High,Chennai
Volunteers needed for shelter support in Jharkhand.,Shelter,Medium,Jharkhand
Urgent Other assistance required in Goa.,Other,Low,Goa
Urgent Rescue assistance required in Delhi.,Rescue,High,Delhi
Urgent Food assistance required in Himachal Pradesh.,Food,Medium,Himachal Pradesh
Severe food crisis unfolding in Manipur.,Food,Medium,Manipur
"Local authorities in Goa report other issues, response needed.",Other,Low,Goa
Severe shelter crisis unfolding in Nagaland.,Shelter,High,Nagaland
"Local authorities in Gujarat report medical issues, response needed.",Medical,Low,Gujarat
Citizens in Telangana need immediate shelter aid.,Shelter,High,Telangana
Citizens in Goa need immediate medical aid.,Medical,High,Goa
"Appeal for shelter relief in Gujarat, marked Low urgency.",Shelter,Low,Gujarat
Urgent Shelter assistance required in Ladakh.,Shelter,High,Ladakh
Citizens in Meghalaya need immediate medical aid.,Medical,Medium,Meghalaya
Volunteers needed for rescue support in Chennai.,Rescue,High,Chennai
"Other emergency reported in Assam, situation is High.",Other,High,Assam
Severe food crisis unfolding in Chennai.,Food,Medium,Chennai
Urgent Rescue assistance required in Bihar.,Rescue,Medium,Bihar
"Appeal for medical relief in Meghalaya, marked High urgency.",Medical,High,Meghalaya
"Local authorities in Uttar Pradesh report shelter issues, response needed.",Shelter,Medium,Uttar Pradesh
"Local authorities in Goa report shelter issues, response needed.",Shelter,Medium,Goa
"Local authorities in Odisha report shelter issues, response needed.",Shelter,High,Odisha
Citizens in Madhya Pradesh need immediate food aid.,Food,Medium,Madhya Pradesh
"Appeal for medical relief in Punjab, marked Medium urgency.",Medical,Medium,Punjab
Volunteers needed for rescue support in Ladakh.,Rescue,Low,Ladakh
Crisis alert: Food required in Gujarat. Urgency is Medium.,Food,Medium,Gujarat
Volunteers needed for food support in Jharkhand.,Food,Medium,Jharkhand
Volunteers needed for medical support in Kolkata.,Medical,Medium,Kolkata
Lack of basic rescue services reported in Telangana.,Rescue,Medium,Telangana
Crisis alert: Food required in Odisha. Urgency is Medium.,Food,Medium,Odisha
Crisis alert: Shelter required in Uttar Pradesh. Urgency is Medium.,Shelter,Medium,Uttar Pradesh
Citizens in Mumbai need immediate food aid.,Food,Medium,Mumbai
"Local authorities in Goa report medical issues, response needed.",Medical,High,Goa
Crisis alert: Medical required in Tripura. Urgency is High.,Medical,High,Tripura
"Appeal for medical relief in Uttar Pradesh, marked Medium urgency.",Medical,Medium,Uttar Pradesh
Lack of basic medical services reported in Uttar Pradesh.,Medical,Low,Uttar Pradesh
"Local authorities in Jammu report other issues, response needed.",Other,High,Jammu
Lack of basic medical services reported in Himachal Pradesh.,Medical,Medium,Himachal Pradesh
"Delhi facing medical shortage, urgency level: High.",Medical,High,Delhi
Citizens in Assam need immediate shelter aid.,Shelter,High,Assam
Volunteers needed for food support in Mumbai.,Food,Medium,Mumbai
Lack of basic other services reported in Mumbai.,Other,Medium,Mumbai
Crisis alert: Rescue required in Odisha. Urgency is High.,Rescue,High,Odisha
Volunteers needed for rescue support in Sikkim.,Rescue,Medium,Sikkim
Severe medical crisis unfolding in Nagaland.,Medical,Medium,Nagaland
"Local authorities in Chennai report rescue issues, response needed.",Rescue,Low,Chennai
Citizens in Andhra Pradesh need immediate medical aid.,Medical,Medium,Andhra Pradesh
Urgent Food assistance required in Sikkim.,Food,Low,Sikkim
"Shelter emergency reported in Punjab, situation is Low.",Shelter,Low,Punjab
"Shelter emergency reported in Andhra Pradesh, situation is Medium.",Shelter,Medium,Andhra Pradesh
Volunteers needed for other support in Himachal Pradesh.,Other,High,Himachal Pradesh
Citizens in Assam need immediate food aid.,Food,Medium,Assam
Lack of basic shelter services reported in Manipur.,Shelter,Medium,Manipur
"Local authorities in Kolkata report medical issues, response needed.",Medical,Low,Kolkata
"Appeal for other relief in Ladakh, marked High urgency.",Other,High,Ladakh
Lack of basic rescue services reported in Kerala.,Rescue,Medium,Kerala
